"","site","depth","date","data","delta"
"1381","MLR","Shallow",2004-01-28,0.04,0
"1382","MLR","Shallow",2004-02-26,0.04,0
"1383","MLR","Shallow",2004-03-24,0.05,0.01
"1384","MLR","Shallow",2004-04-27,0.05,0
"1385","MLR","Shallow",2004-05-26,0.04,-0.01
"1386","MLR","Shallow",2004-06-23,0.04,0
"1387","MLR","Shallow",2004-07-28,0.04,0
"1388","MLR","Shallow",2004-08-25,0.04,0
"1389","MLR","Shallow",2004-09-29,0.04,0
"1390","MLR","Shallow",2004-10-27,0.04,0
"1391","MLR","Shallow",2004-11-24,0.04,0
"1392","MLR","Shallow",2004-12-21,0.04,0
"1393","MLR","Shallow",2005-01-26,0.03,-0.01
"1394","MLR","Shallow",2005-02-22,0.04,0.01
"1395","MLR","Shallow",2005-03-21,0.04,0
"1396","MLR","Shallow",2005-04-27,0.04,0
"1397","MLR","Shallow",2005-05-25,0.04,0
"1398","MLR","Shallow",2005-06-13,0.04,0
"1399","MLR","Shallow",2005-07-27,0.05,0.01
"1400","MLR","Shallow",2005-08-30,0.05,0
"1401","MLR","Shallow",2005-09-28,0.05,0
"1402","MLR","Shallow",2005-10-25,0.05,0
"1403","MLR","Shallow",2005-11-22,0.05,0
"1404","MLR","Shallow",2005-12-27,0.05,0
"1440","RAI","Shallow",2003-01-22,0.04,0
"1442","RAI","Shallow",2003-04-28,0,-0.04
"1443","RAI","Shallow",2003-05-28,0,0
"1444","RAI","Shallow",2003-06-24,0,0
"1446","RAI","Shallow",2003-08-26,0.03,0.03
"1447","RAI","Shallow",2003-09-23,0.03,0
"1448","RAI","Shallow",2003-10-28,0.03,0
"1449","RAI","Shallow",2003-11-25,0.03,0
"1450","RAI","Shallow",2003-12-29,0.03,0
"1451","RAI","Shallow",2004-01-27,0.02,-0.01
"1452","RAI","Shallow",2004-02-25,0.03,0.01
"1453","RAI","Shallow",2004-03-23,0.03,0
"1454","RAI","Shallow",2004-04-27,0.03,0
"1455","RAI","Shallow",2004-05-25,0.02,-0.01
"1456","RAI","Shallow",2004-06-22,0.02,0
"1457","RAI","Shallow",2004-07-27,0.03,0.01
"1458","RAI","Shallow",2004-08-24,0.03,0
"1459","RAI","Shallow",2004-09-28,0.03,0
"1460","RAI","Shallow",2004-10-26,0.03,0
"1461","RAI","Shallow",2004-11-23,0.03,0
"1462","RAI","Shallow",2004-12-21,0.03,0
"1463","RAI","Shallow",2005-01-25,0.02,-0.01
"1464","RAI","Shallow",2005-02-22,0.03,0.01
"1465","RAI","Shallow",2005-03-21,0.03,0
"1466","RAI","Shallow",2005-04-27,0.03,0
"1467","RAI","Shallow",2005-05-24,0.03,0
